dataset,model,layer_num,best_epoch,recall@5,recall@10,recall@20,ndcg@5,ndcg@10,ndcg@20,recall@20_improve_abs,recall@20_improve_pct,ndcg@20_improve_abs,ndcg@20_improve_pct
Office,lightgcn,2,69,0.0322843,0.052913,0.08443417,0.03093988,0.03996051,0.05157774,0.0,0.0,0.0,0.0
Office,lightgcn,3,63,0.03362414,0.05479376,0.08890779,0.03199961,0.04125452,0.05378921,0.004473619999999998,0.053,0.00221147,0.0429
Office,lightgcn,4,72,0.033351,0.05541208,0.08949414,0.03181815,0.04142967,0.05398585,0.005059969999999997,0.0599,0.002408110000000005,0.0467
Office,lightgcn,5,63,0.03277206,0.05355272,0.08838637,0.03106363,0.04021627,0.05299706,0.003952200000000003,0.0468,0.0014193200000000017,0.0275
Office,lightgcn,6,90,0.03379254,0.05414228,0.08985952,0.03203843,0.0408428,0.05405628,0.0054253499999999955,0.0643,0.0024785400000000013,0.0481
Office,lightgcn,7,81,0.03252767,0.05292573,0.08850122,0.03092859,0.03981391,0.05290192,0.004067050000000003,0.0482,0.0013241800000000012,0.0257
Office,lightgcn,8,96,0.03227262,0.05292559,0.08820851,0.03046053,0.03951982,0.05250893,0.003774340000000001,0.0447,0.0009311900000000053,0.0181
Office,lightgcn,9,93,0.03118244,0.05200246,0.08792314,0.02944367,0.03858784,0.05178076,0.003488969999999994,0.0413,0.00020302000000000514,0.0039
Office,lightgcn,10,93,0.03085542,0.05157921,0.08613738,0.02881992,0.03787973,0.05051549,0.0017032099999999967,0.0202,-0.0010622499999999938,-0.0206
Office,lightgcn_a,2,75,0.03288379,0.05476574,0.09020898,0.03181037,0.04115423,0.05410358,0.0,0.0,0.0,0.0
Office,lightgcn_a,3,99,0.03377503,0.05663594,0.09185933,0.0322843,0.04213585,0.05498607,0.0016503500000000088,0.0183,0.0008824899999999997,0.0163
Office,lightgcn_a,4,96,0.03334318,0.05430003,0.09148843,0.03207065,0.04107197,0.05466337,0.0012794500000000014,0.0142,0.0005597900000000045,0.0103
Office,lightgcn_a,5,126,0.03367238,0.05625852,0.09202481,0.03212283,0.04181105,0.05488509,0.0018158300000000044,0.0201,0.0007815099999999991,0.0144
Office,lightgcn_a,6,126,0.03333523,0.05530296,0.09109212,0.03144898,0.04078134,0.05390173,0.0008831400000000045,0.0098,-0.00020184999999999648,-0.0037
Office,lightgcn_a,7,177,0.03312986,0.05489102,0.09301648,0.03163009,0.04106669,0.0549778,0.0028075000000000044,0.0311,0.0008742200000000019,0.0162
Office,lightgcn_a,8,183,0.03216904,0.05364702,0.09074091,0.03077866,0.04002972,0.05363592,0.0005319299999999999,0.0059,-0.0004676600000000017,-0.0086
Office,lightgcn_a,9,198,0.03142899,0.0536838,0.09053858,0.03001019,0.03966413,0.05320926,0.00032959999999999934,0.0037,-0.0008943199999999971,-0.0165
Office,lightgcn_a,10,171,0.03049742,0.05110224,0.08662208,0.02852955,0.03753122,0.05043908,-0.00358689999999999,-0.0398,-0.003664500000000001,-0.0677
Office,lightgcn_rgcn,2,144,0.03817688,0.06145174,0.09803862,0.03671095,0.04676913,0.06011685,0.0,0.0,0.0,0.0
Office,lightgcn_rgcn,3,213,0.0376741,0.06301464,0.09963869,0.03587183,0.04694133,0.06029849,0.001600069999999995,0.0163,0.00018164000000000374,0.003
Office,lightgcn_rgcn,4,117,0.03588662,0.05954885,0.09400109,0.03446076,0.04472148,0.05737282,-0.004037530000000011,-0.0412,-0.0027440300000000015,-0.0456
Office,lightgcn_rgcn,5,81,0.03472045,0.05655406,0.09067204,0.03356267,0.04291087,0.05543343,-0.0073665800000000115,-0.0751,-0.004683420000000001,-0.0779
Office,lightgcn_rgcn,6,81,0.03418525,0.05481042,0.09001301,0.03282239,0.0416707,0.05456072,-0.008025610000000002,-0.0819,-0.005556129999999999,-0.0924
Office,lightgcn_rgcn,7,159,0.03479273,0.05800948,0.09406637,0.03381141,0.04375194,0.05692549,-0.0039722500000000105,-0.0405,-0.0031913599999999973,-0.0531
Office,lightgcn_rgcn,8,162,0.03282988,0.0543322,0.08691109,0.0315648,0.04093779,0.05273577,-0.01112753000000001,-0.1135,-0.007381079999999998,-0.1228
Office,lightgcn_rgcn,9,231,0.03218151,0.05366842,0.08788773,0.03081347,0.04022974,0.05268226,-0.01015089000000001,-0.1035,-0.007434589999999998,-0.1237
Office,lightgcn_rgcn,10,129,0.02710557,0.0475727,0.07795551,0.0263554,0.03509705,0.0461375,-0.02008311,-0.2048,-0.013979350000000001,-0.2325
