dataset,model,layer_num,best_epoch,recall@5,recall@10,recall@20,ndcg@5,ndcg@10,ndcg@20,recall@20_improve_abs,recall@20_improve_pct,ndcg@20_improve_abs,ndcg@20_improve_pct
amazon,lightgcn,2,153,0.06286692,0.09944477,0.14897499,0.06387662,0.07638572,0.09255062,0.0,0.0,0.0,0.0
amazon,lightgcn,3,147,0.06268799,0.09811193,0.14821442,0.06339643,0.07557277,0.091963,-0.0007605699999999882,-0.0051,-0.000587619999999997,-0.0063
amazon,lightgcn,4,150,0.06223799,0.09797164,0.14733717,0.06268268,0.0747342,0.09089615,-0.001637820000000012,-0.011,-0.001654470000000005,-0.0179
amazon,lightgcn,5,150,0.06079831,0.09522015,0.14435201,0.06115651,0.07280079,0.08889903,-0.004622979999999999,-0.031,-0.0036515899999999962,-0.0395
amazon,lightgcn,6,222,0.06032838,0.09683617,0.1462529,0.06029659,0.07296294,0.08923781,-0.0027220900000000103,-0.0183,-0.0033128099999999994,-0.0358
amazon,lightgcn,7,177,0.05917688,0.09113221,0.14185007,0.05902326,0.06985277,0.08640421,-0.007124920000000007,-0.0478,-0.006146410000000005,-0.0664
amazon,lightgcn,8,231,0.05834056,0.09003136,0.14089898,0.05839539,0.06890535,0.08570259,-0.008076009999999995,-0.0542,-0.006848030000000005,-0.074
amazon,lightgcn_rgcn,2,186,0.0723551,0.11107525,0.16384961,0.07309282,0.08626671,0.10347863,0.0,0.0,0.0,0.0
amazon,lightgcn_rgcn,3,171,0.07432193,0.11267111,0.16702566,0.07371953,0.08701496,0.10473791,0.003176049999999986,0.0194,0.0012592800000000015,0.0122
amazon,lightgcn_rgcn,4,171,0.07577033,0.11409217,0.166461,0.07545942,0.08866989,0.10572709,0.0026113899999999912,0.0159,0.002248459999999994,0.0217
amazon,lightgcn_rgcn,5,177,0.07601627,0.11389527,0.16605103,0.07562394,0.0886258,0.10559939,0.0022014199999999817,0.0134,0.0021207599999999993,0.0205
amazon,lightgcn_rgcn,6,180,0.07412772,0.11278442,0.16320906,0.07454234,0.08761617,0.10414177,-0.0006405500000000175,-0.0039,0.0006631399999999926,0.0064
amazon,lightgcn_rgcn,7,180,0.07278411,0.10936414,0.1591642,0.07274053,0.08522574,0.10159882,-0.004685410000000001,-0.0286,-0.0018798099999999957,-0.0182
amazon,lightgcn_rgcn,8,240,0.07238084,0.10903604,0.16117704,0.0723353,0.08487024,0.10203082,-0.002672570000000013,-0.0163,-0.0014478100000000077,-0.014
