dataset,model,layer_num,best_epoch,recall@5,recall@10,recall@20,ndcg@5,ndcg@10,ndcg@20,recall@20_improve_abs,recall@20_improve_pct,ndcg@20_improve_abs,ndcg@20_improve_pct
yelp,lightgcn,2,132,0.04123293,0.07120677,0.11869825,0.04894644,0.05854662,0.07477785,0.0,0.0,0.0,0.0
yelp,lightgcn,3,204,0.04362998,0.07363418,0.12002655,0.05074512,0.06010186,0.07600442,0.0013282999999999906,0.0112,0.0012265699999999963,0.0164
yelp,lightgcn,4,153,0.0411238,0.06976926,0.11671288,0.04847596,0.05746198,0.0734916,-0.00198537,-0.0167,-0.0012862500000000027,-0.0172
yelp,lightgcn,5,144,0.03992471,0.06839289,0.1128483,0.04663695,0.05551681,0.0707475,-0.0058499500000000065,-0.0493,-0.004030350000000002,-0.0539
yelp,lightgcn,6,159,0.0396755,0.06714846,0.10923683,0.04573446,0.05449103,0.06887749,-0.009461420000000012,-0.0797,-0.005900360000000007,-0.0789
yelp,lightgcn,7,135,0.03748056,0.06494026,0.10532458,0.04362047,0.05247828,0.06617259,-0.013373670000000004,-0.1127,-0.008605260000000003,-0.1151
yelp,lightgcn,8,147,0.03704727,0.06341068,0.10346139,0.04305046,0.05139903,0.06501617,-0.015236860000000005,-0.1284,-0.009761680000000009,-0.1305
yelp,lightgcn_rgcn,2,126,0.04434277,0.07567306,0.12521736,0.05165603,0.06190596,0.07867097,0.0,0.0,0.0,0.0
yelp,lightgcn_rgcn,3,171,0.04768228,0.08052594,0.13007811,0.05516674,0.06567854,0.08256166,0.004860749999999997,0.0388,0.0038906899999999883,0.0495
yelp,lightgcn_rgcn,4,93,0.04383775,0.0754418,0.12206841,0.05082835,0.06095767,0.07696262,-0.0031489499999999976,-0.0251,-0.0017083500000000112,-0.0217
yelp,lightgcn_rgcn,5,174,0.0462711,0.07781157,0.12806956,0.05366845,0.06382789,0.08099384,0.002852199999999999,0.0228,0.0023228699999999908,0.0295
yelp,lightgcn_rgcn,6,171,0.04506991,0.07652747,0.12593559,0.05301264,0.06291293,0.07995583,0.0007182299999999864,0.0057,0.0012848599999999988,0.0163
yelp,lightgcn_rgcn,7,120,0.04367553,0.07354289,0.12082974,0.04999415,0.05939457,0.07562881,-0.004387619999999995,-0.035,-0.003042160000000002,-0.0387
yelp,lightgcn_rgcn,8,120,0.04263273,0.07203949,0.1188487,0.04927231,0.058617,0.07465511,-0.006368659999999998,-0.0509,-0.00401586000000001,-0.051
